Description,Average_time_for_Line_Clearance_(_Mins_)_Jan_to_Aug,Sep,Oct,Nov,Average_time_for_Line_closure_(_Mins_)_Jan_to_Aug,Sep,Oct,Nov,Average_time_for_Line_Re-Verification_(_Mins_)_Jan_to_Aug,Sep,Oct,Nov
Assembly of Sixteen Bay PCR Machine,,,,,,,,,,,,
4x4 packing,NA,3:09,4:09,5:09,NA,4:11,3:02,5:11,NA,NA,NA,NA
4x4 top and bottom cover assembly,NA,4:08,6:12,5:08,NA,6:11,7:10,6:11,NA,2:04,3:02,2:04
AFC Testing 4x4,NA,3:08,4:13,5:08,NA,5 :13,4:16,3:11,NA,3:16,2:12,4:16
Assembly of extraction Device,,,,,,,,,,,,
Top cover Assembly,4:23,NA,NA,6:07,5:54,NA,NA,4:40,NA,NA,NA,NA
Mechanism assembly,4:11,NA,NA,3:06,4:33,NA,NA,4:15,3:02,NA,NA,NA
Wiring - Main Assembly area,7:02,NA,NA,5:43,8:01,NA,NA,8:08,NA,NA,NA,NA
Bottom cover,6:44,NA,NA,6:22,7:05,NA,NA,4:02,NA,NA,NA,NA
Testing,4:27,NA,NA,7:00,5:01,NA,NA,5:39,NA,NA,NA,NA
Packing room 1,3:01,NA,NA,6:22,3:26,NA,NA,:40,NA,NA,NA,NA
Eject Motor Sub Assembly,4:22,NA,2:05,NA,3:03,NA,3:47,NA,NA,NA,NA,NA
Valve Rotating Sub Assembly ASED,5:34,3:11,NA,NA,4:58,4:11,NA,NA,NA,NA,NA,NA
Fluid Nozzle Sub Assembly,5:53,4:05,NA,NA,6:14,4:18,NA,NA,NA,NA,NA,NA
